natural-sciences,101,Integrated Science I,"b'troductory electricity and magnetism, properties of light, atoms and molecules, the chemistry and properties of materials.  Course work is closely tied to laboratory experiments. Laboratories include computer-based laboratory instruction and computer simulations.'"
natural-sciences,102,Integrated Science II,"b'e universe, and planetary systems.  Physical description of the planet Earth.  Introduction to ecology, environmental science, evolution of life, organisms, and genetics. Students engage in laboratory experiments, group work, and computer simulations.'"
