C,FYWS,102,b'The Way: from Antiquity to the the Medieval World: Core Humanities 2',"b'How to live: examining Aristotle, Confucius, Laozi, the Bhagavad-gita, Virgil,  and the Gospels, students compare Biblical and Classical, and explore Eastern,  views of ""The Way,"" or the best human life, concluding with Dante\'s Divine  Comedy. A focus on writing and oral / signed communication leads to an  exploration of the nature of communication, while a study of Western and Asian  art at the Museum of Fine Arts brings out the contrast of traditions and  deepens Core\'s overall study of the relation of the individual to culture and  to nature. Carries humanities divisional credit in CAS. This course fulfills a  single unit in each of the following BU Hub areas: First-Year Writing Seminar,  Oral and/or Signed Communication.'"
C,FYWS,120,b'First-Year Writing Seminar',"b'Topic-based seminar in critical reading and writing. Engagement with a variety of  sources and practice in writing in a range of genres with particular attention to  argumentation, prose style, and revision, informed by reflection and feedback,  including individual conferences. This course fulfills a single unit in the  following BU Hub area: First-Year Writing Seminar.'"
