editorial-studies,501,The Theory and Practice of Literary Editing,"b'ons of modernization, revision, and annotation. Featuring a dozen visiting speakers and attending to notable editorial achievements.'"
editorial-studies,503,Textual Scholarship,"b'aphy, textual criticism, and annotation.'"
editorial-studies,505,Manuscripts at Mugar,"b'Center. This course  explores these for understanding and enjoyment. At Gotlieb and the Editorial Institute, undergraduate and  graduate students have their hands on originals, on presentation, and on individual interests.'"
editorial-studies,506,Topics in Textual Scholarship and the History of Western Society,b''
